epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.839287,1.19183,4.58606,1.41049,0,0,0,0,1.82328,4.83877,1.88388,0,0,0
2,1.51805,1.6126,4.34485,1.4525,0,0,0,0,1.82328,4.83877,1.88388,0.000660067,0.000660067,0.000660067
3,2.16436,1.18216,4.28943,1.31203,0,0,0,0,1.82328,4.83877,1.88388,0.00130693,0.00130693,0.00130693
4,2.79436,2.09085,4.60533,1.53856,0.00333,1,0.00642,0.00321,1.38081,3.97589,1.01088,0.0019406,0.0019406,0.0019406
5,3.37811,1.68105,3.9014,1.33486,0.00333,1,0.00642,0.00321,1.38081,3.97589,1.01088,0.0019208,0.0019208,0.0019208
6,4.04741,1.99388,4.25464,1.41262,0.00333,1,0.00642,0.00321,1.38081,3.97589,1.01088,0.001901,0.001901,0.001901
7,4.72331,1.58435,3.89042,1.19884,0.00333,1,0.4975,0.14925,2.59932,4.57035,2.26671,0.0018812,0.0018812,0.0018812
8,5.35479,1.73313,3.20617,1.45421,0.00333,1,0.4975,0.14925,2.59932,4.57035,2.26671,0.0018614,0.0018614,0.0018614
9,6.0807,1.68191,3.89049,1.76922,0.00333,1,0.4975,0.14925,2.59932,4.57035,2.26671,0.0018416,0.0018416,0.0018416
10,6.76638,1.82301,7.13366,1.40265,0,0,0,0,3.09709,5.74545,4.66063,0.0018218,0.0018218,0.0018218
11,7.45592,2.45926,4.64869,1.73095,0,0,0,0,3.09709,5.74545,4.66063,0.001802,0.001802,0.001802
12,8.14293,2.05414,5.0897,1.58617,0,0,0,0,3.09709,5.74545,4.66063,0.0017822,0.0017822,0.0017822
13,8.83317,2.1527,4.20229,1.4415,0,0,0,0,3.96829,4.95525,4.91652,0.0017624,0.0017624,0.0017624
14,9.44695,2.1528,4.10151,1.55505,0,0,0,0,3.96829,4.95525,4.91652,0.0017426,0.0017426,0.0017426
15,10.0631,1.71564,3.66125,1.41642,0,0,0,0,3.96829,4.95525,4.91652,0.0017228,0.0017228,0.0017228
16,10.7628,1.84896,3.59903,1.2689,0.00333,1,0.00975,0.00098,3.46124,4.54785,2.66261,0.001703,0.001703,0.001703
17,11.4352,1.87273,3.6128,1.35658,0.00333,1,0.00975,0.00098,3.46124,4.54785,2.66261,0.0016832,0.0016832,0.0016832
18,12.0756,3.91989,8.45609,3.3353,0.00333,1,0.00975,0.00098,3.46124,4.54785,2.66261,0.0016634,0.0016634,0.0016634
19,12.7524,1.59388,3.20343,1.19529,0,0,0,0,3.77413,4.96354,4.57613,0.0016436,0.0016436,0.0016436
20,13.3861,1.77579,3.29839,1.39689,0,0,0,0,3.77413,4.96354,4.57613,0.0016238,0.0016238,0.0016238
21,14.0032,1.53043,3.09101,1.33488,0,0,0,0,3.77413,4.96354,4.57613,0.001604,0.001604,0.001604
22,14.6543,1.87454,3.14599,1.38271,0,0,0,0,3.45725,4.79257,5.6651,0.0015842,0.0015842,0.0015842
23,15.3154,1.48058,3.14409,1.22008,0,0,0,0,3.45725,4.79257,5.6651,0.0015644,0.0015644,0.0015644
24,15.9446,1.77379,3.50391,1.37707,0,0,0,0,3.45725,4.79257,5.6651,0.0015446,0.0015446,0.0015446
25,16.6105,1.73583,4.91409,1.3485,0,0,0,0,3.39374,4.39984,4.52362,0.0015248,0.0015248,0.0015248
26,17.3408,1.89116,2.79052,1.7598,0,0,0,0,3.39374,4.39984,4.52362,0.001505,0.001505,0.001505
27,18.041,1.77552,2.80292,1.50262,0,0,0,0,3.39374,4.39984,4.52362,0.0014852,0.0014852,0.0014852
28,18.7073,1.93039,2.5123,1.39563,0,0,0,0,2.92656,4.53154,4.22055,0.0014654,0.0014654,0.0014654
29,19.3589,1.25931,1.93916,1.21233,0,0,0,0,2.92656,4.53154,4.22055,0.0014456,0.0014456,0.0014456
30,20.0618,1.49425,2.58423,1.62306,0,0,0,0,2.92656,4.53154,4.22055,0.0014258,0.0014258,0.0014258
31,20.7597,1.48318,1.80543,1.22058,0.00333,1,0.12437,0.01797,2.58459,4.4892,2.13879,0.001406,0.001406,0.001406
32,21.4439,1.28795,2.43102,1.25245,0.00333,1,0.12437,0.01797,2.58459,4.4892,2.13879,0.0013862,0.0013862,0.0013862
33,22.2648,1.76304,2.1207,1.4371,0.00333,1,0.12437,0.01797,2.58459,4.4892,2.13879,0.0013664,0.0013664,0.0013664
34,23.0176,1.51963,2.66363,1.47505,0.00333,1,0.199,0.1194,1.4056,4.09697,1.27947,0.0013466,0.0013466,0.0013466
35,23.7614,1.68779,2.41215,1.2722,0.00333,1,0.199,0.1194,1.4056,4.09697,1.27947,0.0013268,0.0013268,0.0013268
36,24.5235,1.50604,1.88121,1.3886,0.00333,1,0.199,0.1194,1.4056,4.09697,1.27947,0.001307,0.001307,0.001307
37,25.3248,1.64424,2.00278,1.28882,0.00333,1,0.02618,0.01034,1.51258,4.48109,1.36742,0.0012872,0.0012872,0.0012872
38,25.9781,1.9903,2.58827,1.48158,0.00333,1,0.02618,0.01034,1.51258,4.48109,1.36742,0.0012674,0.0012674,0.0012674
39,26.6339,2.23705,2.54295,1.56708,0.00333,1,0.02618,0.01034,1.51258,4.48109,1.36742,0.0012476,0.0012476,0.0012476
40,27.3406,1.22968,1.46156,1.19871,0.00333,1,0.00966,0.0029,1.67655,4.37838,1.60416,0.0012278,0.0012278,0.0012278
